objectid,country,name,company,group_comp,subgroup,groupid,area_ha
7943,IDN,PT. UNICO BIMASARI 1,PT. UNICO BIMASARI,No group,,99,1658
7944,IDN,PT. PERKEBUNAN V (PIR SEI. SIASAM),PT. PERKEBUNAN V (PIR SEI. SIASAM),No group,,99,8880
7945,IDN,PT. BUDI DATA,PT. BUDI DATA,No group,,99,1051
7946,IDN,PT. PERKEBUNAN V (PIR SEI. TAPUNG),PT. PERKEBUNAN V (PIR SEI. TAPUNG),No group,,99,16517
7947,IDN,PT. KENCANA AMAL TANI,PT. KENCANA AMAL TANI,Duta Palma Group,,17,8756
7948,IDN,PT. PERKEBUNAN V (PIR BUATAN),PT. PERKEBUNAN V (PIR BUATAN),No group,,99,43695
7949,IDN,PT. PERKEBUNAN V (PIR BUATAN),PT. PERKEBUNAN V (PIR BUATAN),No group,,99,2
7950,IDN,PT. DUTA SWAKARSA INDAH,PT. DUTA SWAKARSA INDAH,Surya Dumai Group,,94,17483
7951,IDN,PT. SURYA AGROLIKA REKSA 2,PT. SURYA AGROLIKA REKSA,Adimulya Group,,80,1803
7952,IDN,PT. DARMALI JAYA LESTARI,PT. DARMALI JAYA LESTARI,No group,,99,8671
7953,IDN,PT. TUMPUAN,PT. TUMPUAN,No group,,99,3956
7954,IDN,PT. TUNGGAL PERKASA,PT. TUNGGAL PERKASA,Astra International,Astra Agro Lestari,5,17370
7955,IDN,PT. HUTAHAEAN,PT. HUTAHAEAN,No group,,99,5515
7956,IDN,PT. PERKEBUNAN V (PIR SEI. PAGAR),PT. PERKEBUNAN V (PIR SEI. PAGAR),No group,,99,22484
7957,IDN,PT. SARI LEMBAH SUBUR,PT. SARI LEMBAH SUBUR,Astra International,Astra Agro Lestari,5,20473
7958,IDN,PT. PERKEBUNAN V (NES / PIR AIR MOLEK),PT. PERKEBUNAN V (NES / PIR AIR MOLEK),No group,,99,8976
7959,IDN,PT. SUBUR ARUM MAKMUR,PT. SUBUR ARUM MAKMUR,No group,,99,10181
7960,IDN,PT. IVO MAS TUNGGAL 2,PT. IVO MAS TUNGGAL,Sinar Mas,,68,9809
7961,IDN,PT. GUNUNG MAS RAYA 1,PT. GUNUNG MAS RAYA,Salim Group,,60,8526
7962,IDN,PT. LAHAN TANI SAKTI,PT. LAHAN TANI SAKTI,Sime Darby,,66,18759
7963,IDN,PT. ROKAN ADI MAKMUR,PT. ROKAN ADI MAKMUR,Rokan Group,,103,12271
7964,IDN,"PT. PERKEBUNAN V (TANDUN, TERANTAM, TAMORA)","PT. PERKEBUNAN V (TANDUN, TERANTAM, TAMORA)",No group,,99,33518
7965,IDN,PT. ADEI CRUMB RUBBER 2,PT. ADEI CRUMB RUBBER,No group,,99,16693
7966,IDN,PT. TUNGGAL MITRA PLANTATION,PT. TUNGGAL MITRA PLANTATION,Sime Darby,,66,38493
7967,IDN,PT. RANTAU BAIS FAMILI,PT. RANTAU BAIS FAMILI,No group,,99,2040
7968,IDN,PT. IVO MAS TUNGGAL 3,PT. IVO MAS TUNGGAL,Sinar Mas,,68,12151
7969,IDN,PT. BUANA WIRA LESTARI 2,PT. BUANA WIRA LESTARI,Sinar Mas,,68,12347
7970,IDN,PT. SEWANGI SEJATI LUHUR,PT. SEWANGI SEJATI LUHUR,No group,,99,7808
7971,IDN,PT. LANGGAM INTI HIBRINDO 1,PT. LANGGAM INTI HIBRINDO,Klau River Enterprise Sdn Bhd,,36,5823
7972,IDN,PT. ADEI CRUMB RUBBER 3,PT. ADEI CRUMB RUBBER,No group,,99,16780
7973,IDN,PT. SURYA BRATASENA PLANTATION,PT. SURYA BRATASENA PLANTATION,No group,,99,23403
