Iceland,ISL,Land area (sq. km),100250.0
Israel,ISR,Land area (sq. km),21640.0
Italy,ITA,Land area (sq. km),294140.0
Jamaica,JAM,Land area (sq. km),10830.0
Jordan,JOR,Land area (sq. km),88780.0
Japan,JPN,Land area (sq. km),364560.0
Kazakhstan,KAZ,Land area (sq. km),2699700.0
Kenya,KEN,Land area (sq. km),569140.0
Kyrgyz Republic,KGZ,Land area (sq. km),191800.0
Cambodia,KHM,Land area (sq. km),176520.0
Kiribati,KIR,Land area (sq. km),810.0
St. Kitts and Nevis,KNA,Land area (sq. km),260.0
"Korea, Rep.",KOR,Land area (sq. km),97480.0
Kuwait,KWT,Land area (sq. km),17820.0
Latin America & Caribbean (excluding high income),LAC,Land area (sq. km),16282240.0
Lao PDR,LAO,Land area (sq. km),230800.0
Lebanon,LBN,Land area (sq. km),10230.0
Liberia,LBR,Land area (sq. km),96320.0
Libya,LBY,Land area (sq. km),1759540.0
St. Lucia,LCA,Land area (sq. km),610.0
Latin America & Caribbean,LCN,Land area (sq. km),20039364.4
Least developed countries: UN classification,LDC,Land area (sq. km),20138798.0
Low income,LIC,Land area (sq. km),14232607.0
Liechtenstein,LIE,Land area (sq. km),160.0
Sri Lanka,LKA,Land area (sq. km),62710.0
Lower middle income,LMC,Land area (sq. km),22079554.0
Low & middle income,LMY,Land area (sq. km),91848566.0
Lesotho,LSO,Land area (sq. km),30360.0
Late-demographic dividend,LTE,Land area (sq. km),44530502.0
Lithuania,LTU,Land area (sq. km),62650.0
Luxembourg,LUX,Land area (sq. km),2590.0
Latvia,LVA,Land area (sq. km),62180.0
"Macao SAR, China",MAC,Land area (sq. km),30.3
St. Martin (French part),MAF,Land area (sq. km),54.4
Morocco,MAR,Land area (sq. km),446300.0
Monaco,MCO,Land area (sq. km),2.0
Moldova,MDA,Land area (sq. km),32870.0
Madagascar,MDG,Land area (sq. km),581800.0
Maldives,MDV,Land area (sq. km),300.0
Middle East & North Africa,MEA,Land area (sq. km),11236232.0
Mexico,MEX,Land area (sq. km),1943950.0
Marshall Islands,MHL,Land area (sq. km),180.0
Middle income,MIC,Land area (sq. km),77615959.0
"Macedonia, FYR",MKD,Land area (sq. km),25220.0
Mali,MLI,Land area (sq. km),1220190.0
Malta,MLT,Land area (sq. km),320.0
Myanmar,MMR,Land area (sq. km),653080.0
Middle East & North Africa (excluding high income),MNA,Land area (sq. km),8641281.0
Montenegro,MNE,Land area (sq. km),13450.0
Mongolia,MNG,Land area (sq. km),1553560.0
Northern Mariana Islands,MNP,Land area (sq. km),460.0
Mozambique,MOZ,Land area (sq. km),786380.0
Mauritania,MRT,Land area (sq. km),1030700.0
Mauritius,MUS,Land area (sq. km),2030.0
Malawi,MWI,Land area (sq. km),94280.0
Malaysia,MYS,Land area (sq. km),328550.0
North America,NAC,Land area (sq. km),18240980.0
Namibia,NAM,Land area (sq. km),823290.0
New Caledonia,NCL,Land area (sq. km),18280.0
Niger,NER,Land area (sq. km),1266700.0
Nigeria,NGA,Land area (sq. km),910770.0
Nicaragua,NIC,Land area (sq. km),120340.0
Netherlands,NLD,Land area (sq. km),33690.0
Norway,NOR,Land area (sq. km),365245.0
Nepal,NPL,Land area (sq. km),143350.0
Nauru,NRU,Land area (sq. km),20.0
New Zealand,NZL,Land area (sq. km),263310.0
OECD members,OED,Land area (sq. km),34403746.0
Oman,OMN,Land area (sq. km),309500.0
Other small states,OSS,Land area (sq. km),2030709.0
Pakistan,PAK,Land area (sq. km),770880.0
Panama,PAN,Land area (sq. km),74340.0
Peru,PER,Land area (sq. km),1280000.0
Philippines,PHL,Land area (sq. km),298170.0
Palau,PLW,Land area (sq. km),460.0
Papua New Guinea,PNG,Land area (sq. km),452860.0
Poland,POL,Land area (sq. km),306190.0
Pre-demographic dividend,PRE,Land area (sq. km),20165531.0
Puerto Rico,PRI,Land area (sq. km),8870.0
"Korea, Dem. People’s Rep.",PRK,Land area (sq. km),120410.0
Portugal,PRT,Land area (sq. km),91605.0
Paraguay,PRY,Land area (sq. km),397300.0
West Bank and Gaza,PSE,Land area (sq. km),6020.0
Pacific island small states,PSS,Land area (sq. km),64200.0
Post-demographic dividend,PST,Land area (sq. km),31464577.3
French Polynesia,PYF,Land area (sq. km),3660.0
Qatar,QAT,Land area (sq. km),11610.0
Romania,ROU,Land area (sq. km),230080.0
Russian Federation,RUS,Land area (sq. km),16376870.0
Rwanda,RWA,Land area (sq. km),24670.0
South Asia,SAS,Land area (sq. km),4771577.0
Saudi Arabia,SAU,Land area (sq. km),2149690.0
Sudan,SDN,Land area (sq. km),2376000.0
Senegal,SEN,Land area (sq. km),192530.0
Singapore,SGP,Land area (sq. km),709.0
Solomon Islands,SLB,Land area (sq. km),27990.0
Sierra Leone,SLE,Land area (sq. km),72180.0
El Salvador,SLV,Land area (sq. km),20720.0
San Marino,SMR,Land area (sq. km),60.0
Somalia,SOM,Land area (sq. km),627340.0
Serbia,SRB,Land area (sq. km),87460.0
Sub-Saharan Africa (excluding high income),SSA,Land area (sq. km),23617901.0
South Sudan,SSD,Land area (sq. km),
Sub-Saharan Africa,SSF,Land area (sq. km),23618361.0
Small states,SST,Land area (sq. km),2499759.0
Sao Tome and Principe,STP,Land area (sq. km),960.0
Suriname,SUR,Land area (sq. km),156000.0
Slovak Republic,SVK,Land area (sq. km),48086.0
Slovenia,SVN,Land area (sq. km),20140.0
Sweden,SWE,Land area (sq. km),407310.0
Eswatini,SWZ,Land area (sq. km),17200.0
Sint Maarten (Dutch part),SXM,Land area (sq. km),34.0
Seychelles,SYC,Land area (sq. km),460.0
Syrian Arab Republic,SYR,Land area (sq. km),183630.0
Turks and Caicos Islands,TCA,Land area (sq. km),950.0
Chad,TCD,Land area (sq. km),1259200.0
East Asia & Pacific (IDA & IBRD countries),TEA,Land area (sq. km),15793351.0
Europe & Central Asia (IDA & IBRD countries),TEC,Land area (sq. km),22984216.0
Togo,TGO,Land area (sq. km),54390.0
Thailand,THA,Land area (sq. km),510890.0
Tajikistan,TJK,Land area (sq. km),138786.0
Turkmenistan,TKM,Land area (sq. km),469930.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Land area (sq. km),19913632.0
Timor-Leste,TLS,Land area (sq. km),14870.0
Middle East & North Africa (IDA & IBRD countries),TMN,Land area (sq. km),8635261.0
Tonga,TON,Land area (sq. km),720.0
South Asia (IDA & IBRD),TSA,Land area (sq. km),4771577.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Land area (sq. km),23618361.0
Trinidad and Tobago,TTO,Land area (sq. km),5130.0
Tunisia,TUN,Land area (sq. km),155360.0
Turkey,TUR,Land area (sq. km),769630.0
Tuvalu,TUV,Land area (sq. km),30.0
Tanzania,TZA,Land area (sq. km),885800.0
Uganda,UGA,Land area (sq. km),200520.0
Ukraine,UKR,Land area (sq. km),579290.0
Upper middle income,UMC,Land area (sq. km),55536405.0
Uruguay,URY,Land area (sq. km),175020.0
United States,USA,Land area (sq. km),9147420.0
Uzbekistan,UZB,Land area (sq. km),425400.0
St. Vincent and the Grenadines,VCT,Land area (sq. km),390.0
"Venezuela, RB",VEN,Land area (sq. km),882050.0
British Virgin Islands,VGB,Land area (sq. km),150.0
Virgin Islands (U.S.),VIR,Land area (sq. km),350.0
Vietnam,VNM,Land area (sq. km),310070.0
Vanuatu,VUT,Land area (sq. km),12190.0
World,WLD,Land area (sq. km),129733172.7
Samoa,WSM,Land area (sq. km),2830.0
Kosovo,XKX,Land area (sq. km),10887.0
"Yemen, Rep.",YEM,Land area (sq. km),527970.0
South Africa,ZAF,Land area (sq. km),1213090.0
Zambia,ZMB,Land area (sq. km),743390.0
Zimbabwe,ZWE,Land area (sq. km),386850.0
