Country Name,Country Code,Indicator,Land area,Percent agriculture,Agriculture area,Palm area,Percet palm,Percent palm
Cameroon,CMR,Land area (sq. km),472710.0,20.6257536333058,97499.99999999983,1989.1973700000005,2.040202430769235,2.040202430769235
"Congo, Rep.",COG,Land area (sq. km),341500.0,31.118594436310396,106270.0,5358.292875499999,5.042150066340453,5.042150066340453
Indonesia,IDN,Land area (sq. km),1811570.0,31.4644203646561,570000.0000000005,153522.90318853498,26.933842664655238,26.933842664655238
Liberia,LBR,Land area (sq. km),96320.0,28.031561461794,26999.99999999998,7469.889999999999,27.666259259259274,27.666259259259274
